scenario,scenario_type,trial_id,planner,success,collision,steps,path_length,planning_cpu_time,colregs_corrections,colregs_encounters,num_obstacles
DEU_Berlin_1_T-1,open,0,APF_COLREGs,True,False,145,19.40775,0.007017850875854492,0,0,3
DEU_Berlin_1_T-1,open,1,APF_COLREGs,True,False,145,19.40775,0.009511470794677734,0,0,3
DEU_Berlin_1_T-1,open,2,APF_COLREGs,True,False,145,19.40775,0.006376743316650391,0,0,3
DEU_Berlin_1_T-1,open,3,APF_COLREGs,True,False,145,19.40775,0.005055665969848633,0,0,3
DEU_Berlin_1_T-1,open,4,APF_COLREGs,True,False,145,19.40775,0.004592418670654297,0,0,3
DEU_Berlin_1_T-1,open,5,APF_COLREGs,True,False,145,19.40775,0.005584239959716797,0,0,3
DEU_Berlin_1_T-1,open,6,APF_COLREGs,True,False,145,19.40775,0.005412101745605469,0,0,3
DEU_Berlin_1_T-1,open,7,APF_COLREGs,True,False,145,19.40775,0.004784822463989258,0,0,3
DEU_Berlin_1_T-1,open,8,APF_COLREGs,True,False,145,19.40775,0.005614042282104492,0,0,3
DEU_Berlin_1_T-1,open,9,APF_COLREGs,True,False,145,19.40775,0.006115436553955078,0,0,3
